,wins
799,77
800,57
801,76
802,76
803,99
804,86
805,89
806,97
807,90
808,91
809,74
810,68
811,80
812,93
813,78
814,96
815,81
816,65
817,69
818,80
819,68
820,92
821,85
822,81
823,94
824,67
825,83
826,83
827,77
828,72
829,82
830,73
831,73
832,74
833,68
834,67
835,76
836,90
837,74
838,92
839,83
840,73
841,64
842,74
843,66
844,68
845,75
846,62
847,79
848,71
849,92
850,90
851,98
852,86
853,89
854,69
855,66
856,80
857,100
858,87
859,78
860,61
861,71
862,79
863,83
864,86
865,81
866,79
867,82
868,68
869,70
870,75
871,61
872,76
873,75
874,101
875,93
876,83
877,89
878,84
879,81
880,90
881,75
882,73
883,78
884,88
885,88
886,92
887,85
888,78
889,87
890,95
891,73
892,50
893,60
894,68
895,79
896,82
897,78
898,77
899,76
900,71
901,101
902,85
903,79
904,85
905,89
906,88
907,91
908,103
909,90
910,79
911,91
912,86
913,85
914,72
915,57
916,74
917,74
918,86
919,85
920,84
921,83
922,92
923,104
924,84
925,87
926,98
927,88
928,59
929,79
930,84
931,75
932,85
933,53
934,79
935,65
936,69
937,79
938,66
939,55
940,43
941,72
942,71
943,95
944,88
945,74
946,86
947,81
948,95
949,88
950,93
951,90
952,74
953,86
954,64
955,80
956,92
957,54
958,64
959,79
960,76
961,79
962,91
963,83
964,83
965,78
966,71
967,84
968,87
969,80
970,72
971,69
972,62
973,77
974,71
975,79
976,64
977,66
978,66
979,65
980,72
981,69
982,72
983,81
984,79
985,79
986,84
987,82
988,81
989,64
990,80
991,81
992,74
993,89
994,93
995,77
996,85
997,80
998,83
999,96
1000,76
1001,82
1002,86
1003,75
1004,65
1005,81
1006,85
1007,82
1008,84
1009,102
1010,97
1011,72
1012,93
1013,84
1014,87
1015,92
1016,89
1017,82
1018,73
1019,86
1020,74
1021,76
1022,56
1023,55
1024,51
1025,70
1026,86
1027,84
1028,69
1029,65
1030,85
1031,76
1032,88
1033,77
1034,91
1035,90
1036,102
1037,92
1038,85
1039,97
1040,90
1041,79
1042,84
1043,91
1044,76
1045,83
1046,84
1047,92
1048,75
1049,82
1050,72
1051,84
1052,75
1053,67
1054,72
1055,64
1056,77
1057,65
1058,62
1059,83
1060,58
1061,56
1062,62
1063,69
1064,75
1065,65
1066,67
1067,71
1068,72
1069,86
1070,89
1071,95
1072,81
1073,56
1074,48
1075,66
1076,65
1077,53
1078,55
1079,64
1080,64
1081,58
1082,65
1083,75
1084,80
1085,94
1086,70
1087,93
1088,77
1089,76
1090,76
1091,92
1092,68
1093,71
1094,65
1095,77
1096,70
1097,86
1098,79
1099,81
1100,65
1101,71
1102,70
1103,67
1104,62
1105,69
1106,84
1107,88
1108,100
1109,104
1110,81
1111,63
1112,87
1113,96
1114,94
1115,84
1116,97
1117,89
1118,97
1119,96
1120,105
1121,92
1122,98
1123,93
1124,84
1125,71
1126,88
1127,82
1128,89
1129,102
1130,99
1131,80
1132,97
1133,95
1134,73
1135,76
1136,85
1137,87
1138,89
1139,85
1140,95
1141,102
1142,88
1143,92
1144,98
1145,95
1146,79
1147,92
1148,88
1149,91
1150,79
1151,95
1152,73
1153,73
1154,94
1155,77
1156,86
1157,93
1158,63
1159,81
1160,90
1161,88
1162,83
1163,77
1164,86
1165,86
1166,92
1167,85
1168,93
1169,71
1170,88
1171,82
1172,84
1173,95
1174,80
1175,82
1176,86
1177,92
1178,94
1179,92
1180,91
1181,64
1182,65
1183,69
1184,65
1185,74
1186,76
1187,68
1188,66
1189,67
1190,93
1191,95
1192,86
1193,95
1194,87
1195,67
1196,71
1197,77
1198,91
1199,87
1200,81
1201,74
1202,83
1203,92
1204,69
1205,80
1206,78
1207,74
1208,74
1209,73
1210,68
1211,56
1212,68
1213,67
1214,81
1215,75
1216,83
1217,90
1218,80
1219,77
1220,96
1221,83
1222,74
1223,82
1224,68
1225,73
1226,38
1227,64
1228,55
1229,49
1230,67
1231,42
1232,66
1233,64
1234,91
1235,90
1236,81
1237,85
1238,76
1239,74
1240,68
1241,80
1242,69
1243,75
1244,92
1245,96
1246,81
1247,85
1248,75
1249,71
1250,94
1251,92
1252,93
1253,99
1254,66
1255,67
1256,82
1257,73
1258,75
1259,65
1260,64
1261,70
1262,62
1263,84
1264,64
1265,87
1266,76
1267,64
1268,56
1269,50
1270,67
1271,62
1272,78
1273,76
1274,66
1275,53
1276,59
1277,55
1278,61
1279,63
1280,73
1281,70
1282,91
1283,91
1284,79
1285,102
1286,89
1287,91
1288,79
1289,97
1290,98
1291,74
1292,77
1293,81
1294,82
1295,76
1296,85
1297,84
1298,73
1299,82
1300,77
1301,60
1302,70
1303,81
1304,77
1305,71
1306,85
1307,91
1308,80
1309,74
1310,95
1311,90
1312,71
1313,78
1314,68
1315,70
1316,63
1317,69
1318,85
1319,94
1320,90
1321,92
1322,83
1323,96
1324,79
1325,88
1326,87
1327,94
1328,63
1329,66
1330,66
1331,70
1332,83
1333,59
1334,40
1335,51
1336,53
1337,50
1338,66
1339,61
1340,73
1341,100
1342,83
1343,83
1344,83
1345,82
1346,71
1347,82
1348,86
1349,64
1350,66
1351,63
1352,67
1353,65
1354,68
1355,90
1356,98
1357,108
1358,92
1359,100
1360,87
1361,91
1362,77
1363,72
1364,59
1365,71
1366,88
1367,88
1368,97
1369,94
1370,82
1371,75
1372,66
1373,71
1374,83
1375,97
1376,88
1377,89
1378,70
1379,79
1380,77
1381,74
1382,74
1383,79
1384,90
1385,87
1386,92
1387,71
1388,90
1389,70
1390,51
1391,74
1392,88
1393,76
1394,50
1395,57
1396,70
1397,69
1398,80
1399,71
1400,95
1401,98
